"purchase_month","completed_order_count","total_payment_value","average_payment_value","median_payment_value","order_count_mom_pct","payment_mom_pct","is_incomplete_boundary"
"2016-09",1,0,0,0,NA,NA,TRUE
"2016-10",265,46566.71,175.723433962264,111.22,26400,NA,FALSE
"2016-12",1,19.62,19.62,19.62,-99.622641509434,-99.9578668967595,TRUE
"2017-01",750,127545.67,170.060893333333,104.105,74900,649979.867482161,FALSE
"2017-02",1653,271298.65,164.125015124017,105.83,120.4,112.707064065758,FALSE
"2017-03",2546,414369.39,162.75309897879,101.53,54.0229885057471,52.7355149021199,FALSE
"2017-04",2303,390952.18,169.757785497178,103.63,-9.54438334642577,-5.65128857611804,FALSE
"2017-05",3546,567066.73,159.917295544275,104.37,53.9730785931394,45.0475938003466,FALSE
"2017-06",3135,490225.6,156.371802232855,100.33,-11.590524534687,-13.5506327447565,FALSE
"2017-07",3872,566403.93,146.282006714876,102.03,23.5087719298246,15.5394434725563,FALSE
"2017-08",4193,646000.61,154.066446458383,100.11,8.29028925619835,14.0529886506967,FALSE
"2017-09",4150,701169.99,168.956624096386,104.37,-1.02551872167899,8.54014363856406,FALSE
"2017-10",4478,751140.27,167.740122822689,106.29,7.90361445783132,7.12669976078127,FALSE
"2017-11",7289,1153528.05,158.25600905474,103.55,62.7735596248325,53.5702579226647,FALSE
"2017-12",5513,843199.17,152.947427897696,105.87,-24.3654822335025,-26.9025863740375,FALSE
"2018-01",7069,1078606.86,152.582665157731,104.52,28.2241973517141,27.9183967887445,FALSE
"2018-02",6555,966510.88,147.446358504958,102.83,-7.27118404300467,-10.3926633657791,FALSE
"2018-03",7003,1120678,160.02827359703,106.73,6.83447749809306,15.950893382597,FALSE
"2018-04",6798,1132933.95,166.656950573698,109.165,-2.92731686420106,1.09361921979373,FALSE
"2018-05",6749,1128836.69,167.259844421396,108.55,-0.720800235363342,-0.361650385708718,FALSE
"2018-06",6099,1012090.68,165.943708804722,112.09,-9.63105645280782,-10.3421523267462,FALSE
"2018-07",6159,1027903.86,166.894603019971,108.96,0.983767830791933,1.56242719278869,FALSE
"2018-08",6351,985414.28,155.158916706031,100.67,3.11738918655626,-4.13361420785014,FALSE
