"group","sample_size","mean_days","median_days","sd_days","iqr_days"
"Single-seller order",95195,12.6040351449656,10.2517361111111,9.57961176948283,8.9978587962963
"Multi-seller order",1275,9.13731594045025,7.92765046296296,5.61438452386128,6.26453703703704
