"threshold","tpr","fpr"
1,0,0
0.511513100135171,0,5.64047605617901e-05
0.508064656072841,0.000638977635782748,5.64047605617901e-05
0.506413038523187,0.000638977635782748,0.00011280952112358
0.502882260286742,0.0012779552715655,0.00011280952112358
0.476401174555343,0.00191693290734824,0.00011280952112358
0.474594660469929,0.00255591054313099,0.00011280952112358
0.470257357068097,0.00319488817891374,0.00011280952112358
0.466988061322076,0.00319488817891374,0.00016921428168537
0.439975852400376,0.00319488817891374,0.00022561904224716
0.434033979526974,0.00319488817891374,0.000282023802808951
0.432887724669397,0.00383386581469649,0.000282023802808951
0.427671541653489,0.00383386581469649,0.000338428563370741
0.423554325850251,0.00447284345047923,0.000338428563370741
0.41201036473683,0.00511182108626198,0.000338428563370741
0.410342338473458,0.00511182108626198,0.000394833323932531
0.408949028116932,0.00511182108626198,0.000451238084494321
0.403022484534127,0.00511182108626198,0.000507642845056111
0.39847186090692,0.00511182108626198,0.000564047605617901
0.389211465724741,0.00511182108626198,0.000620452366179691
0.387864313030517,0.00511182108626198,0.000676857126741481
0.387517831135162,0.00511182108626198,0.000733261887303271
0.387473897572672,0.00511182108626198,0.000789666647865062
0.384266566628556,0.00511182108626198,0.000846071408426852
0.380058326010422,0.00575079872204473,0.000846071408426852
0.37988543426,0.00575079872204473,0.000902476168988642
0.379403746795961,0.00638977635782748,0.000902476168988642
0.376694334955096,0.00638977635782748,0.000958880929550432
0.376125796321475,0.00702875399361022,0.000958880929550432
0.374838212111417,0.00702875399361022,0.00101528569011222
0.37284691452675,0.00702875399361022,0.00107169045067401
0.370900743331098,0.00766773162939297,0.00107169045067401
0.369568889328222,0.00766773162939297,0.0011280952112358
0.36886875052179,0.00766773162939297,0.00118449997179759
0.367061642457021,0.00766773162939297,0.00124090473235938
0.364613660883579,0.00766773162939297,0.00129730949292117
0.36453107003493,0.00830670926517572,0.00129730949292117
0.355195132480044,0.00830670926517572,0.00135371425348296
0.354180763491786,0.00830670926517572,0.00141011901404475
0.353797403133789,0.00830670926517572,0.00146652377460654
0.353013916578935,0.00894568690095847,0.00146652377460654
0.352819165340978,0.00894568690095847,0.00152292853516833
0.351271485337809,0.00894568690095847,0.00157933329573012
0.349963344373098,0.00894568690095847,0.00163573805629191
0.349626947577976,0.00894568690095847,0.0016921428168537
0.348070116802045,0.00894568690095847,0.00174854757741549
0.344885568934176,0.00894568690095847,0.00180495233797728
0.344727994817016,0.00894568690095847,0.00186135709853907
0.34170582418967,0.00894568690095847,0.00191776185910086
0.340568682660877,0.00958466453674121,0.00191776185910086
0.340356979645884,0.00958466453674121,0.00197416661966265
0.33992463587387,0.00958466453674121,0.00203057138022444
0.338142990414132,0.010223642172524,0.00203057138022444
0.333449480846722,0.010223642172524,0.00208697614078623
0.332188259824313,0.010223642172524,0.00214338090134802
0.330238594832279,0.010223642172524,0.00219978566190981
0.329973741137711,0.0108626198083067,0.00219978566190981
0.329523551347974,0.0108626198083067,0.0022561904224716
0.329480882586267,0.0115015974440895,0.0022561904224716
0.327809037037688,0.0115015974440895,0.00231259518303339
0.327392223224764,0.0121405750798722,0.00231259518303339
0.325206565818842,0.0121405750798722,0.00236899994359518
0.324503038199198,0.0121405750798722,0.00242540470415709
0.321353143955526,0.0121405750798722,0.00248180946471888
0.320346086175272,0.0121405750798722,0.00253821422528067
0.32011529194516,0.0121405750798722,0.00259461898584246
